prio,segment,naam,type,locatie,website,email,beslisser,linkedin,score,hook_kort,marokko_aanbod_al,status,mail_variant,notities
1,C-vereniging,D.E.R.M.,studentenboardsportvereniging,Amsterdam (UvA/VU/HvA),https://www.derm.nl/,info@derm.nl,Puck de Haan (Voorzitter) / Nidhi de Graaff (PR),,5,"Juni-trip 2024 ging naar Le Pin Sec (FR) — Marokko = logische upgrade (warmer, langer seizoen, betere waves).",N,cold,default,538 actieve leden + ~900 alumni. 2 grote surf-trips per jaar. Bestuur 2025-2026.
2,C-vereniging,S.W.V. Plankenkoorts,studentenwindsurfvereniging,Leiden + Delft,https://plankenkoorts.com/,,"Marieke Feldhaus (Voorzitter, 41e bestuur)",,5,9e Lustrum (45 jaar) gevierd in 2026 — lustrumreis-budget voor extra grote trip; wave-component = perfect Marokko-fit.,N,cold,default,>600 leden (grootste studenten-surfvereniging NL). Check actueel bestuur. Lustrum 9 in 2026 = uitzonderlijk reisbudget.
3,C-vereniging,SPIN Utrecht,studentenboardsportvereniging,Utrecht (UU),https://www.spin-utrecht.nl/,voorzitter@spin-utrecht.nl,Whitney Faye (Voorzitter),,5,~550 leden met lotting-systeem — vraag overtreft aanbod; surf-crew zoekt actief nieuwe trip-formules.,N,cold,default,5 crews (Surf/Skate/Wake/Kite/Snow). Jaarlijkse Surftrip + Obscuro/MoMo/SPINtro.
4,C-vereniging,Stoked Maastricht,studentenboardsportvereniging,Maastricht,https://stokedmaastricht.com/,stokedmaastricht@outlook.com,Sophie Hoenjet (President) / Carolina N. de C. Barroso (PR),,5,Fuerteventura in hun rotatie = open voor warme bestemmingen; Marokko = directe upsell.,N,cold,default,Internationale Maastricht-pool (Duits/Belgisch/Engels) — Engels voertaal logisch. 2x/jaar (kite)surf-trip.
5,B-sup-binnenwater,M&M SUP Amsterdam,SUP+yoga/pilates,Amsterdam IJburg/Zeeburg,https://www.mm-sup.com/,info@mm-sup.com,Morene Dekker,,5,"Morene = OG van NL SUP-scene (sinds 2011, 15 jaar community) — Zennosurf retreat = logische 'graduation trip'.",N,cold,default,
6,B-sup-binnenwater,My Own Retreat / Jessica Groenenberg,yoga+SUP retreat platform,Zierikzee Zeeland,https://www.myownretreat.com/jessica-groenenberg,,Jessica Groenenberg,,5,Jessica draait al SUP-yoga retreats in NL — voor háár community is een week Marokko logisch 'next level'.,N,cold,default,MOR-platform faciliteert meerdere yoga-docenten — schaalbaarheid.
7,B-sup-binnenwater,Natural High,surf+SUP-yoga+beachclub,Brouwersdam Ouddorp,https://www.natural-high.nl/,beachclub@natural-high.nl,Martijn Lakamp,,5,Brouwersdam wisselvallig — klanten die jaar-rond willen surfen = logisch upsell-pad naar Marokko.,N,cold,default,Komt ook in segment D (shop score 4) — primair B. Eén entry voor beide rollen.
8,B-sup-binnenwater,SUP SUP CLUB,SUP-franchise (40+ loc),HQ Amsterdam,https://www.supsupclub.com/,,Sol Wortelboer,,5,Sol is mediagenieke community-builder met franchise-mindset — internationale 'SUP+Surf retreat' past commercieel én verhalend.,N,cold,default,Email via supsupclub.com contact. LinkedIn Sol Wortelboer.
9,B-sup-binnenwater,Wave SUP School,wave-SUP + SUP-reizen,Scheveningen (Manta beach),https://wavesupschool.nl/,,Denis,,5,"Zij doen al SUP-reizen — directe peer met wave-SUP focus, Marokko logische bestemming voor hun publiek.",N,cold,default,Telefoon Denis +31 6 10172800. Email via website.
10,A-kust,Hookipa Beach,surfschool,Camperduin,https://hookipabeach.nl/,info@hookipabeach.nl,Richard Minkema,,5,Saw the NH Nieuws coverage — strand-erosie is rot; alternatieve seizoens-inkomsten relevant.,N,cold,default,Crisis-moment 2026: surfclub moet verplaatst worden door strand-erosie (NH Nieuws coverage).
11,A-kust,Lex Surfschool Noordwijk,surfschool,Noordwijk,https://lexsurfschool.nl/,info@lexsurfschool.nl,Alexander 'Lex' Alders,,5,Saw Teun catching waves on your blog — Lex's persoonlijke merk is genuiniek en informeel.,N,cold,default,
12,A-kust,OZlines / Noordpier Surf,surfschool,Wijk aan Zee,https://www.ozlines.com/,info@noordpiersurf.com,Chris Way,,5,Chris reist zelf actief (FR/AUS/Maldiven) — Marokko-verkenningsreis past in zijn eigen patroon.,N,cold,default,
13,A-kust,Surfschool Bergen aan Zee,surfschool,Bergen aan Zee + Castricum,https://www.surfschoolbergenaanzee.nl/,info@surfschoolbergenaanzee.nl,Freek Aalmoes,,5,30 jaar dezelfde founder is uitzonderlijk — Freek heeft een legacy maar geen eigen buitenland-reisproduct.,N,cold,default,
14,A-kust,Surfschool Castricum,surfschool,Castricum aan Zee,https://surfschoolcastricum.com/,info@surfschoolcastricum.com,Pieter,,5,"Pieter nam over in 2023 — twee seizoenen verder, moment om zijn eigen stempel te drukken op nieuwe propositie.",N,cold,default,Recent verhuisd naar dedicated watersports-gebouw Zeeweg 71a.
15,A-kust,Surfschool Domburg,surfschool,Domburg,https://surfschooldomburg.nl/,info@surfschooldomburg.nl,Patrick,,5,30-jarig jubileum 2025/2026 — natural moment voor community-jubileum-reis.,N,cold,default,
16,A-kust,Surfschool Foamball,surfschool,Texel,https://surfschoolfoamball.com/,,,,5,Surf-yoga-retreat language op hun site = directe match met Zennosurf-propositie.,N,cold,default,Email TBD via telefoon +31 222 36 51 38.
