prio,segment,naam,type,locatie,website,email,beslisser,linkedin,score,hook_kort,marokko_aanbod_al,status,mail_variant,notities
1,international-IT,Zest Family,surf+chill operator,Italy,https://www.zestfamily.it/,info@zestfamily.it,Gianluca Iametti,,5,"Marocco: Surf & Chill bestaand product (Ian Catanzariti) — overflow Taghazout past 1-op-1.",Y,replied-positive,overflow-peer,"HOT: Gianluca vroeg 12 mei direct om tarieven per persoon voor hun programma. Reply staat sinds 12 mei 14:52 te wachten."
2,international-CH,Knecht Reisen,reisbureau,Switzerland,https://www.knecht-reisen.ch/,info@knecht-reisen.ch,Team Knecht,,5,Verkopen al expliciet Surf+Yoga Marokko — gevestigde CH-operator + CH-ground-partner pitch.,Y,ground-partner,Gevestigde CH-reisorganisatie. Surf+Yoga product al actief op website.
3,international-IRL,WildnHappy Travel,18-35 active-social tours,Killarney Ireland,https://wildnhappytravel.com/,info@wildnhappytravel.com,Team WildnHappy,,4,Marokko groepsreizen 18-35 vanuit Killarney — Atlantic kust is single overnight; Taghazout = full moment.,Y,coastal-extension,Twee mails verstuurd (12 mei 12:55 + 14:21).
4,international-DE,Hauser Exkursionen,premium trekking operator,Germany,https://www.hauser-exkursionen.de/,info@hauser-exkursionen.de,Team Hauser,,4,Atlas + Toubkal trekking referentie DACH — Surf+Yoga kust-baustein als logische uitbreiding.,Y,kust-baustein,Premium-aktivsegment DACH.
5,international-DE,Wainando,mindful travel operator,Germany,https://www.wainando.de/,discover@wainando.de,Team Wainando,,4,German Health Award 2025 winnaar — bestaand Yoga-baustein Agadir; mindful-küstencamp als uitbreiding.,Y,mindful-camp,Health-Award winnaar 2025.
6,international-DE,Tinta-Tours / Erlebnisrundreisen,18-35 rundreisen operator,Germany,https://erlebnisrundreisen.de/,anfrage@erlebnisrundreisen.de,Team Tinta,,4,13-daagse Marokko-rondreis 18-35 — Beach-Stop Taghazout module past in itinerary.,Y,beach-stop,18-35 doelgroep.
7,international-DE,TravelJunkies,DACH multi-product operator,Germany,https://www.traveljunkies.tours/,service@traveljunkies.tours,Jasmin + team,,4,Drie verschillende Marokko-profielen (Adventure / 1001-Nacht / Jung) — kust-modul als 4e profiel.,Y,kust-modul,3 Marokko-trips actief.
8,international-DE,Reiseathleten,fit/outdoor travel,Germany,https://www.reiseathleten.de/,info@reiseathleten.de,Team Reiseathleten,,4,Marokko-reis rond Paradis Plage — fit/draußen/ehrlich profile = exact Zenno format-match.,Y,format-match,Fit+surf+yoga overlap perfect.
9,international-FR,Terdav,trekking operator (sinds 1976),France,https://www.terdav.com/,infos@terdav.com,Team Terdav,,4,Atlas-trekkings referentie sinds 1976 — kust-extensie voor wandelaars die ook surf willen.,Y,coastal-extension,Established 1976.
10,international-FR,Adékua,glisse/yoga/duik operator,Marseille France,https://adekua.fr/,contact@adekua.fr,Team Adékua,,4,Recent artikel over droite d'Imsouane — glisse/yoga DNA Marseille matcht Zenno bijna 1-op-1.,Y,dna-match,Marseille basis. Imsouane content recent.
11,international-FR,Copines de Voyage,women-only community (80k),France,https://copinesdevoyage.com/,contact@copinesdevoyage.com,Team Copines,,4,80.000 vrouwen-community + max 12 format = exact Zenno wellness/no-party setup.,Y,women-only,80k community.
12,international-ES,Tuareg,premium adventure operator,Catalunya Spain,https://www.tuareg.com/,infotuareg@tuareg.com,Team Tuareg,,4,Premium-adventure Catalunya — Atlas-trekking + Sahara routes; surf+yoga complement aan kust.,Y,kust-complement,Premium-adventure.
13,international-ES,Paso Noroeste,alternative/backpack operator,Madrid Spain,https://pasonoroeste.com/,info@pasonoroeste.com,Team Paso Noroeste,,4,20 jaar Madrid alternative/mochilero — Marokko-aventura linie waar surf+yoga in past.,Y,mochilero,20 jaar bestaan.
14,international-PT,TakeOff Surf Travel,surf travel agency,Portugal,https://www.takeoffsurftravel.com/,reservas@takeoffsurftravel.com,Team TakeOff,,5,Enige PT-agency 100% surf-travel — Marokko via Paradis Plage/Macaronis premium; gat in mid-tier Taghazout.,Y,mid-tier,Marokko al actief premium-segment.
15,international-DK,Topas,specialty travel operator,Denmark,https://www.topas.dk/,info@topas.dk,Team Topas,,4,"Marokko al op bestemmingenlijst + 'eventyr til steder de andre ikke kommer' = Taghazout-village positioning.",Y,30-50-solo,Solo 30-50 doelgroep.
16,international-PL,Femi Camp,women-by-women operator,Poland,https://femicamp.pl/,kontakt@femicamp.pl,Team Femi Camp,,4,Women-by-women + winter Marokko = exact Zenno crossover; overflow-peer wanneer winterweken volgeboekt.,Y,women-overflow,Winter Marokko bestaand.
17,international-PL,Nelsol,surf/yoga/meditation operator,Poland,https://nelsol.pl/,kontakt@nelsol.pl,Team Nelsol,,4,Surf+yoga+meditation + 50% solo + winter-Marokko vaste lijn — peer-overflow Taghazout.,Y,solo-overflow,~50% solo.
18,international-SE,Surfakademin,surf academy (20k alumni),Sweden,https://www.surfakademin.com/,Iwannasurf@surfakademin.com,Team Surfakademin,,4,20.000 alumni + Body/Mind/Soul Jan-Feb retreats op capaciteit — overflow-weken = bottleneck.,Y,overflow-peer,20k alumni base.
19,international-IRL,Wild and Free Adventures,Imsouane surf+yoga retreats,Ireland,,wildandfreeadventures@gmail.com,Amanda,,4,Imsouane surf+yoga retreats = zelfde DNA; wellness-leaning mixed-ages no-party — peer note ipv pitch.,Y,peer-note,Imsouane operator (Amanda).
20,international-IT,Verticalife,surf trips operator,Torino Italy,https://www.verticalife.it/,info@verticalife.it,Team Verticalife,,3,Surf Spanje + Portugal actief — Marokko = natuurlijke uitbreiding voor surf-publiek.,N,uitbreiding,Geen Marokko nu in programma.
21,international-IT,SurfWeek,surf community operator,Ancona Italy,https://www.surfweek.it/,booking@surfweek.it,Marco (growth),,3,Marokko expliciet op site + Ancona-basis met Marco op growth — community-product partner.,Y,community,EMAIL BOUNCE 12 mei — adres bestaat niet. Verifieer alternatief contact.
22,international-DE,WeRoad,B2B partner program operator,Germany,https://www.weroad.de/,hello@weroad.de,Julian (B2B),,2,2025 globaal B2B-partner-programma + Marokko in portfolio — surf+yoga module pitch.,Y,b2b-pitch,Julian (B2B) wees af 12 mei — niet via dit kanaal: 'Anfragen niet direct hier'.
